Area,Setor,Municipio,Empregados
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Praia Grande,40049
"Ciências naturais, matemática e estatística",Serviços,Praia Grande,40049
"Negócios, administração e direito",Serviços,Praia Grande,40049
"Ciências sociais, comunicação e informação",Serviços,Praia Grande,40049
Artes e humanidades,Serviços,Praia Grande,40049
Educação,Serviços,Americana,39656
Serviços,Serviços,Americana,39656
Saúde e bem-estar,Serviços,Americana,39656
"Agricultura, silvicultura, pesca e veterinária",Serviços,Americana,39656
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Americana,39656
"Ciências naturais, matemática e estatística",Serviços,Americana,39656
"Negócios, administração e direito",Serviços,Americana,39656
"Ciências sociais, comunicação e informação",Serviços,Americana,39656
Artes e humanidades,Serviços,Americana,39656
Educação,Serviços,Santana de Parnaíba,39557
Serviços,Serviços,Santana de Parnaíba,39557
Saúde e bem-estar,Serviços,Santana de Parnaíba,39557
"Agricultura, silvicultura, pesca e veterinária",Serviços,Santana de Parnaíba,39557
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Santana de Parnaíba,39557
"Ciências naturais, matemática e estatística",Serviços,Santana de Parnaíba,39557
"Negócios, administração e direito",Serviços,Santana de Parnaíba,39557
"Ciências sociais, comunicação e informação",Serviços,Santana de Parnaíba,39557
Artes e humanidades,Serviços,Santana de Parnaíba,39557
"Ciências naturais, matemática e estatística",Indústria,São José dos Campos,38985
"Agricultura, silvicultura, pesca e veterinária",Indústria,São José dos Campos,38985
"Engenharia, produção e construção",Indústria,São José dos Campos,38985
Computação e Tecnologias da Informação e Comunicação (TIC),Indústria,São José dos Campos,38985
Educação,Serviços,Diadema,38724
Serviços,Serviços,Diadema,38724
Saúde e bem-estar,Serviços,Diadema,38724
"Agricultura, silvicultura, pesca e veterinária",Serviços,Diadema,38724
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Diadema,38724
"Ciências naturais, matemática e estatística",Serviços,Diadema,38724
"Negócios, administração e direito",Serviços,Diadema,38724
"Ciências sociais, comunicação e informação",Serviços,Diadema,38724
Artes e humanidades,Serviços,Diadema,38724
Educação,Serviços,Guarujá,37385
Serviços,Serviços,Guarujá,37385
Saúde e bem-estar,Serviços,Guarujá,37385
"Agricultura, silvicultura, pesca e veterinária",Serviços,Guarujá,37385
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Guarujá,37385
"Ciências naturais, matemática e estatística",Serviços,Guarujá,37385
"Negócios, administração e direito",Serviços,Guarujá,37385
"Ciências sociais, comunicação e informação",Serviços,Guarujá,37385
Artes e humanidades,Serviços,Guarujá,37385
"Negócios, administração e direito",Comércio,Jundiaí,36901
Serviços,Comércio,Jundiaí,36901
Computação e Tecnologias da Informação e Comunicação (TIC),Comércio,Jundiaí,36901
"Ciências naturais, matemática e estatística",Comércio,Jundiaí,36901
Educação,Serviços,Suzano,36116
Serviços,Serviços,Suzano,36116
Saúde e bem-estar,Serviços,Suzano,36116
"Agricultura, silvicultura, pesca e veterinária",Serviços,Suzano,36116
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Suzano,36116
"Ciências naturais, matemática e estatística",Serviços,Suzano,36116
"Negócios, administração e direito",Serviços,Suzano,36116
"Ciências sociais, comunicação e informação",Serviços,Suzano,36116
Artes e humanidades,Serviços,Suzano,36116
"Ciências naturais, matemática e estatística",Indústria,Limeira,35792
"Agricultura, silvicultura, pesca e veterinária",Indústria,Limeira,35792
"Engenharia, produção e construção",Indústria,Limeira,35792
Computação e Tecnologias da Informação e Comunicação (TIC),Indústria,Limeira,35792
Educação,Serviços,Araçatuba,34787
Serviços,Serviços,Araçatuba,34787
Saúde e bem-estar,Serviços,Araçatuba,34787
"Agricultura, silvicultura, pesca e veterinária",Serviços,Araçatuba,34787
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Araçatuba,34787
"Ciências naturais, matemática e estatística",Serviços,Araçatuba,34787
"Negócios, administração e direito",Serviços,Araçatuba,34787
"Ciências sociais, comunicação e informação",Serviços,Araçatuba,34787
Artes e humanidades,Serviços,Araçatuba,34787
Educação,Serviços,Sumaré,34486
Serviços,Serviços,Sumaré,34486
Saúde e bem-estar,Serviços,Sumaré,34486
"Agricultura, silvicultura, pesca e veterinária",Serviços,Sumaré,34486
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Sumaré,34486
"Ciências naturais, matemática e estatística",Serviços,Sumaré,34486
"Negócios, administração e direito",Serviços,Sumaré,34486
"Ciências sociais, comunicação e informação",Serviços,Sumaré,34486
Artes e humanidades,Serviços,Sumaré,34486
"Negócios, administração e direito",Comércio,Piracicaba,32166
Serviços,Comércio,Piracicaba,32166
Computação e Tecnologias da Informação e Comunicação (TIC),Comércio,Piracicaba,32166
"Ciências naturais, matemática e estatística",Comércio,Piracicaba,32166
Educação,Serviços,São Vicente,31325
Serviços,Serviços,São Vicente,31325
Saúde e bem-estar,Serviços,São Vicente,31325
"Agricultura, silvicultura, pesca e veterinária",Serviços,São Vicente,31325
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,São Vicente,31325
"Ciências naturais, matemática e estatística",Serviços,São Vicente,31325
"Negócios, administração e direito",Serviços,São Vicente,31325
"Ciências sociais, comunicação e informação",Serviços,São Vicente,31325
Artes e humanidades,Serviços,São Vicente,31325
Educação,Serviços,Jacareí,31301
Serviços,Serviços,Jacareí,31301
Saúde e bem-estar,Serviços,Jacareí,31301
"Agricultura, silvicultura, pesca e veterinária",Serviços,Jacareí,31301
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Jacareí,31301
"Ciências naturais, matemática e estatística",Serviços,Jacareí,31301
"Negócios, administração e direito",Serviços,Jacareí,31301
"Ciências sociais, comunicação e informação",Serviços,Jacareí,31301
Artes e humanidades,Serviços,Jacareí,31301
Educação,Serviços,Itu,31245
Serviços,Serviços,Itu,31245
Saúde e bem-estar,Serviços,Itu,31245
"Agricultura, silvicultura, pesca e veterinária",Serviços,Itu,31245
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Itu,31245
"Ciências naturais, matemática e estatística",Serviços,Itu,31245
"Negócios, administração e direito",Serviços,Itu,31245
"Ciências sociais, comunicação e informação",Serviços,Itu,31245
Artes e humanidades,Serviços,Itu,31245
"Ciências naturais, matemática e estatística",Indústria,Indaiatuba,30935
"Agricultura, silvicultura, pesca e veterinária",Indústria,Indaiatuba,30935
"Engenharia, produção e construção",Indústria,Indaiatuba,30935
Computação e Tecnologias da Informação e Comunicação (TIC),Indústria,Indaiatuba,30935
"Negócios, administração e direito",Comércio,Santos,30381
Serviços,Comércio,Santos,30381
Computação e Tecnologias da Informação e Comunicação (TIC),Comércio,Santos,30381
"Ciências naturais, matemática e estatística",Comércio,Santos,30381
Educação,Serviços,Cajamar,30325
Serviços,Serviços,Cajamar,30325
Saúde e bem-estar,Serviços,Cajamar,30325
"Agricultura, silvicultura, pesca e veterinária",Serviços,Cajamar,30325
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Cajamar,30325
"Ciências naturais, matemática e estatística",Serviços,Cajamar,30325
"Negócios, administração e direito",Serviços,Cajamar,30325
"Ciências sociais, comunicação e informação",Serviços,Cajamar,30325
Artes e humanidades,Serviços,Cajamar,30325
"Negócios, administração e direito",Comércio,Bauru,29781
Serviços,Comércio,Bauru,29781
Computação e Tecnologias da Informação e Comunicação (TIC),Comércio,Bauru,29781
"Ciências naturais, matemática e estatística",Comércio,Bauru,29781
"Ciências naturais, matemática e estatística",Indústria,Barueri,28194
"Agricultura, silvicultura, pesca e veterinária",Indústria,Barueri,28194
"Engenharia, produção e construção",Indústria,Barueri,28194
Computação e Tecnologias da Informação e Comunicação (TIC),Indústria,Barueri,28194
Educação,Serviços,Rio Claro,28179
Serviços,Serviços,Rio Claro,28179
Saúde e bem-estar,Serviços,Rio Claro,28179
"Agricultura, silvicultura, pesca e veterinária",Serviços,Rio Claro,28179
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Rio Claro,28179
"Ciências naturais, matemática e estatística",Serviços,Rio Claro,28179
"Negócios, administração e direito",Serviços,Rio Claro,28179
"Ciências sociais, comunicação e informação",Serviços,Rio Claro,28179
Artes e humanidades,Serviços,Rio Claro,28179
Educação,Serviços,Carapicuíba,27978
Serviços,Serviços,Carapicuíba,27978
Saúde e bem-estar,Serviços,Carapicuíba,27978
"Agricultura, silvicultura, pesca e veterinária",Serviços,Carapicuíba,27978
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Carapicuíba,27978
"Ciências naturais, matemática e estatística",Serviços,Carapicuíba,27978
"Negócios, administração e direito",Serviços,Carapicuíba,27978
"Ciências sociais, comunicação e informação",Serviços,Carapicuíba,27978
Artes e humanidades,Serviços,Carapicuíba,27978
Educação,Serviços,Embu das Artes,27860
Serviços,Serviços,Embu das Artes,27860
Saúde e bem-estar,Serviços,Embu das Artes,27860
"Agricultura, silvicultura, pesca e veterinária",Serviços,Embu das Artes,27860
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Embu das Artes,27860
"Ciências naturais, matemática e estatística",Serviços,Embu das Artes,27860
"Negócios, administração e direito",Serviços,Embu das Artes,27860
"Ciências sociais, comunicação e informação",Serviços,Embu das Artes,27860
Artes e humanidades,Serviços,Embu das Artes,27860
Educação,Serviços,Bragança Paulista,27367
Serviços,Serviços,Bragança Paulista,27367
Saúde e bem-estar,Serviços,Bragança Paulista,27367
"Agricultura, silvicultura, pesca e veterinária",Serviços,Bragança Paulista,27367
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Bragança Paulista,27367
"Ciências naturais, matemática e estatística",Serviços,Bragança Paulista,27367
"Negócios, administração e direito",Serviços,Bragança Paulista,27367
"Ciências sociais, comunicação e informação",Serviços,Bragança Paulista,27367
Artes e humanidades,Serviços,Bragança Paulista,27367
"Negócios, administração e direito",Comércio,Franca,27315
Serviços,Comércio,Franca,27315
